0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
15652 | prokaryotic flagellum | flagellum | RNA | nucleic acid 
15653 | chlorine atom | atom | antiporter | transport membrane protein 
15653 | chlorine atom | atom | antiporter | transmembrane protein 
15654 | amylopectin | starch | plant | eukaryote 
15655 | phosphoenolpyruvate | organic molecule | DNA double helix | cellular structure 
15656 | P700 | chlorophyll A | Synthesis of glucose from pyruvate | Gluconeogenesis 
15657 | phosphate bond | single bond | sulfhydryl group | functional group 
15658 | vitamin | organic molecule | plant cell | walled cell 
15658 | vitamin | organic molecule | plant cell | eukaryotic cell 
15659 | Chemical equilibrium reaction | Reversible reaction | carboxyl group | functional group 
15660 | sodium-potassium pump | carrier protein | fatty acid | hydrophobic compound 
15660 | sodium-potassium pump | carrier protein | fatty acid | carboxylic acid 
15661 | flagellum | cellular structure | rubisco | lyase 
15662 | sunlight | energy | disaccharide | sugar 
15662 | sunlight | energy | disaccharide | carbohydrate 
15662 | sunlight | energy | disaccharide | organic molecule 
15662 | sunlight | energy | disaccharide | molecule 
15663 | sunlight | radiation | disaccharide | sugar 
15663 | sunlight | radiation | disaccharide | carbohydrate 
15663 | sunlight | radiation | disaccharide | organic molecule 
15664 | sunlight | electromagnetic energy | disaccharide | sugar 
15664 | sunlight | electromagnetic energy | disaccharide | carbohydrate 
15665 | sunlight | light | disaccharide | sugar 
15666 | saturated fatty acid | organic molecule | Alcohol fermentation by yeast | Alcohol fermentation 
15666 | saturated fatty acid | organic molecule | Alcohol fermentation by yeast | Fermentation 
15666 | saturated fatty acid | organic molecule | Alcohol fermentation by yeast | Anaerobic metabolism 
15666 | saturated fatty acid | organic molecule | Alcohol fermentation by yeast | Catabolic pathway 
15666 | saturated fatty acid | organic molecule | Alcohol fermentation by yeast | Metabolism 
15666 | saturated fatty acid | organic molecule | Alcohol fermentation by yeast | Exergonic reaction 
15666 | saturated fatty acid | organic molecule | Alcohol fermentation by yeast | Metabolic pathway 
15667 | saturated fatty acid | compound | Alcohol fermentation by yeast | Alcohol fermentation 
15667 | saturated fatty acid | compound | Alcohol fermentation by yeast | Fermentation 
15667 | saturated fatty acid | compound | Alcohol fermentation by yeast | Anaerobic metabolism 
15667 | saturated fatty acid | compound | Alcohol fermentation by yeast | Catabolic pathway 
15668 | saturated fatty acid | carboxylic acid | Alcohol fermentation by yeast | Alcohol fermentation 
15668 | saturated fatty acid | carboxylic acid | Alcohol fermentation by yeast | Fermentation 
15669 | saturated fatty acid | hydrophobic compound | Alcohol fermentation by yeast | Alcohol fermentation 
15669 | saturated fatty acid | hydrophobic compound | Alcohol fermentation by yeast | Fermentation 
15670 | saturated fatty acid | fatty acid | Alcohol fermentation by yeast | Alcohol fermentation 
15671 | paracrine | organic molecule | Polymer breakdown | Catabolic pathway 
15671 | paracrine | organic molecule | Polymer breakdown | Exergonic reaction 
15671 | paracrine | organic molecule | Polymer breakdown | Metabolic pathway 
15672 | integral protein | amphipathic molecule | Enzymatic reaction | Chemical reaction 
15673 | Energy investment phase of glycolysis | Catabolic pathway | ribosome | cellular structure 
15674 | lactic acid | carboxylic acid | second electron-shell | electron-shell 
15675 | allosteric enzyme | protein | electromagnetic energy | radiation 
15675 | allosteric enzyme | protein | electromagnetic energy | energy 
15676 | allosteric enzyme | enzyme | electromagnetic energy | radiation 
15676 | allosteric enzyme | enzyme | electromagnetic energy | energy 
15677 | allosteric enzyme | protein enzyme | electromagnetic energy | radiation 
15678 | Dehydration reaction | Condensation reaction | coenzyme | cofactor 
15679 | nonpolar molecule | hydrophobic compound | glutamic acid | acidic amino acid 
15680 | nonpolar molecule | molecule | glutamic acid | acidic amino acid 
15681 | Feedback inhibition | Inhibition | amylopectin | starch 
15682 | substrate | reactant | connexon | channel protein 
15683 | Cellular respiration | Catabolic pathway | strong base | base 
15684 | Cellular respiration | Aerobic metabolism | strong base | base 
15685 | basic solution | solution | leucine | hydrophobic amino acid 
15685 | basic solution | solution | leucine | amino acid 
15686 | basic solution | aqueous solution | leucine | hydrophobic amino acid 
15687 | Exergonic reaction | Chemical reaction | plastoquinone | organic molecule 
15687 | Exergonic reaction | Chemical reaction | plastoquinone | molecule 
15688 | Exergonic reaction | Exergonic process | plastoquinone | organic molecule 
15689 | triglyceride | lipid | Substrate level phosphorylation | Synthesis of ATP 
15690 | iodine atom | atom | storage polysaccharide | polysaccharide 
15690 | iodine atom | atom | storage polysaccharide | carbohydrate 
15690 | iodine atom | atom | storage polysaccharide | polymer 
15691 | sulfur atom | atom | methane | hydrocarbon molecule 
15691 | sulfur atom | atom | methane | organic molecule 
15692 | nonpolar molecule | compound | antiporter | transport membrane protein 
15692 | nonpolar molecule | compound | antiporter | transmembrane protein 
15693 | nonpolar molecule | hydrophobic compound | antiporter | transport membrane protein 
15694 | nonpolar molecule | molecule | antiporter | transport membrane protein 
15695 | Aerobic metabolism | Metabolism | sodium chloride | salt 
15696 | glutamic acid | acidic amino acid | ubiquinone | lipid 
15697 | fructose | hexose | Communication through cell junction | Communication by direct contact 
15698 | Synthesis of fat | Anabolic pathway | asparagine | polar amino acid 
15698 | Synthesis of fat | Anabolic pathway | asparagine | hydrophilic amino acid 
15698 | Synthesis of fat | Anabolic pathway | asparagine | amino acid 
15699 | eukaryote | organism | Protein denaturation by denaturation agent | Protein denaturation 
15700 | infrared ray | electromagnetic energy | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with Ca2 plus and IP3 
15700 | infrared ray | electromagnetic energy | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with plasma membrane receptor 
15701 | infrared ray | light | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with Ca2 plus and IP3 
15702 | Inhibition | Regulation | Anabolic pathway | Endergonic reaction 
15702 | Inhibition | Regulation | Anabolic pathway | Metabolic pathway 
15703 | Light microscopy | Microscopy | radioactive isotope | isotope 
15704 | light | radiation | nucleus | organelle 
15704 | light | radiation | nucleus | cellular structure 
15705 | light | electromagnetic energy | nucleus | organelle 
15706 | secondary lysosome | organelle | hydrocarbon molecule | organic molecule 
15706 | secondary lysosome | organelle | hydrocarbon molecule | molecule 
15707 | secondary lysosome | lysosome | hydrocarbon molecule | organic molecule 
15708 | Photosynthesis | Anabolic pathway | Catabolism | Exergonic process 
15708 | Photosynthesis | Anabolic pathway | Catabolism | Metabolism 
15709 | acetaldehyde | organic molecule | alpha tubulin | polypeptide 
15709 | acetaldehyde | organic molecule | alpha tubulin | organic molecule 
15709 | acetaldehyde | organic molecule | alpha tubulin | polymer 
15710 | acetaldehyde | aldehyde | alpha tubulin | polypeptide 
15711 | hydrogen ion | ion | Competitive inhibition | Inhibition 
15711 | hydrogen ion | ion | Competitive inhibition | Regulation 
15712 | hydrogen ion | cation | Competitive inhibition | Inhibition 
15713 | granum | cellular structure | Protein denaturation by denaturation agent | Protein denaturation 
15714 | eukaryotic cilium | cilium | cytochrome complex | protein complex 
15715 | protein enzyme | protein | phosphate group | functional group 
15716 | protein enzyme | enzyme | phosphate group | functional group 
15717 | glycosidic linkage | covalent bond | RNA | nucleic acid 
15717 | glycosidic linkage | covalent bond | RNA | organic molecule 
15717 | glycosidic linkage | covalent bond | RNA | polymer 
15718 | glycosidic linkage | polar covalent bond | RNA | nucleic acid 
15719 | sulfur atom | atom | Lactic acid fermentation | Fermentation 
15719 | sulfur atom | atom | Lactic acid fermentation | Anaerobic metabolism 
15719 | sulfur atom | atom | Lactic acid fermentation | Catabolic pathway 
15720 | aspartic acid | acidic amino acid | activation energy | energy 
15721 | Signal transduction with IP3 | Signal transduction | anion | ion 
15722 | photoautotroph | autotroph | P680 | chlorophyll A 
15723 | ferredoxin | protein | prokaryotic flagellum | flagellum 
15723 | ferredoxin | protein | prokaryotic flagellum | cellular structure 
15724 | disaccharide | sugar | bacterium | prokaryote 
15725 | capsule | cellular structure | phosphate bond | single bond 
15726 | helium atom | inert atom | Inactivation of cAMP | Hydrolysis 
15727 | Glycolysis | Catabolic pathway | Anabolism | Endergonic process 
15727 | Glycolysis | Catabolic pathway | Anabolism | Metabolism 
15728 | Glycolysis | Anaerobic metabolism | Anabolism | Endergonic process 
15728 | Glycolysis | Anaerobic metabolism | Anabolism | Metabolism 
15729 | oxidoreductase | protein | 3 phosphoglycerate | organic molecule 
15729 | oxidoreductase | protein | 3 phosphoglycerate | molecule 
15730 | oxidoreductase | enzyme | 3 phosphoglycerate | organic molecule 
15730 | oxidoreductase | enzyme | 3 phosphoglycerate | molecule 
15731 | oxidoreductase | protein enzyme | 3 phosphoglycerate | organic molecule 
15732 | Synthesis of ATP | Anabolic pathway | RNA | nucleic acid 
15732 | Synthesis of ATP | Anabolic pathway | RNA | organic molecule 
15732 | Synthesis of ATP | Anabolic pathway | RNA | polymer 
15733 | membrane protein | protein | monomer | molecule 
15734 | Cyclic electron flow | Exergonic process | unsaturated fat | fat molecule 
15734 | Cyclic electron flow | Exergonic process | unsaturated fat | triglyceride 
15734 | Cyclic electron flow | Exergonic process | unsaturated fat | lipid 
15735 | Cyclic electron flow | Exergonic reaction | unsaturated fat | fat molecule 
15735 | Cyclic electron flow | Exergonic reaction | unsaturated fat | triglyceride 
15736 | Active transport | Work | Irreversible non competitive inhibition | Non competitive inhibition 
15736 | Active transport | Work | Irreversible non competitive inhibition | Inhibition 
15736 | Active transport | Work | Irreversible non competitive inhibition | Regulation 
15737 | Active transport | Endergonic process | Irreversible non competitive inhibition | Non competitive inhibition 
15738 | protein kinase A | protein kinase | membrane protein | protein 
15738 | protein kinase A | protein kinase | membrane protein | organic molecule 
15738 | protein kinase A | protein kinase | membrane protein | polymer 
15739 | beta tubulin | polypeptide | isotonic solution | aqueous solution 
15740 | Receptor mediated endocytosis | Endergonic process | tyrosine | polar amino acid 
15740 | Receptor mediated endocytosis | Endergonic process | tyrosine | hydrophilic amino acid 
15740 | Receptor mediated endocytosis | Endergonic process | tyrosine | amino acid 
15741 | Receptor mediated endocytosis | Endocytosis | tyrosine | polar amino acid 
15742 | third electron-shell | electron-shell | maltose | disaccharide 
15743 | phosphodiester bond | chemical bond | sunlight | light 
15743 | phosphodiester bond | chemical bond | sunlight | electromagnetic energy 
15744 | phosphodiester bond | covalent bond | sunlight | light 
15745 | hexose | monosaccharide | pore complex | protein complex 
15746 | primary lysosome | organelle | Energy investment phase of glycolysis | Catabolic pathway 
15746 | primary lysosome | organelle | Energy investment phase of glycolysis | Exergonic reaction 
15746 | primary lysosome | organelle | Energy investment phase of glycolysis | Metabolic pathway 
15747 | primary lysosome | lysosome | Energy investment phase of glycolysis | Catabolic pathway 
15748 | second electron-shell | electron-shell | hydroxyl group | functional group 
15749 | nucleolus | cellular structure | central vacuole | vacuole 
15750 | cotransporter | transport membrane protein | cellulose | polar molecule 
15750 | cotransporter | transport membrane protein | cellulose | structural polysaccharide 
15750 | cotransporter | transport membrane protein | cellulose | molecule 
15750 | cotransporter | transport membrane protein | cellulose | hydrophilic compound 
15750 | cotransporter | transport membrane protein | cellulose | polysaccharide 
15751 | cotransporter | carrier protein | cellulose | polar molecule 
15751 | cotransporter | carrier protein | cellulose | structural polysaccharide 
15752 | tryptophan | hydrophobic amino acid | law of mass action | scientific law 
15753 | light | electromagnetic energy | substrate | reactant 
15754 | Hydrolysis | Exergonic reaction | lactic acid | carboxylic acid 
15755 | chemoautotroph | autotroph | infrared ray | light 
15756 | plastid | organelle | Redox reaction | Chemical reaction 
15757 | law of thermodynamics | scientific law | bacterium | prokaryote 
15758 | Dephosphorylation of ATP | Exergonic process | MRNA | RNA 
15758 | Dephosphorylation of ATP | Exergonic process | MRNA | nucleic acid 
15758 | Dephosphorylation of ATP | Exergonic process | MRNA | organic molecule 
15758 | Dephosphorylation of ATP | Exergonic process | MRNA | polymer 
15759 | Dephosphorylation of ATP | Chemical reaction | MRNA | RNA 
15759 | Dephosphorylation of ATP | Chemical reaction | MRNA | nucleic acid 
15759 | Dephosphorylation of ATP | Chemical reaction | MRNA | organic molecule 
15759 | Dephosphorylation of ATP | Chemical reaction | MRNA | polymer 
15760 | Dephosphorylation of ATP | Exergonic reaction | MRNA | RNA 
15760 | Dephosphorylation of ATP | Exergonic reaction | MRNA | nucleic acid 
15761 | Dephosphorylation of ATP | Hydrolysis | MRNA | RNA 
15762 | asparagine | polar amino acid | complex ion | ion 
15763 | vitamin | molecule | leucine | hydrophobic amino acid 
15763 | vitamin | molecule | leucine | amino acid 
15764 | vitamin | organic molecule | leucine | hydrophobic amino acid 
15765 | Non competitive inhibition | Inhibition | Substrate level phosphorylation | Synthesis of ATP 
15766 | Cell signaling with Ca2 plus and IP3 | Cell signaling with plasma membrane receptor | polypeptide | organic molecule 
15766 | Cell signaling with Ca2 plus and IP3 | Cell signaling with plasma membrane receptor | polypeptide | polymer 
15767 | aspartic acid | acidic amino acid | Light reaction | Metabolic pathway 
15768 | proton pump | transport membrane protein | radioactive isotope | isotope 
15768 | proton pump | transport membrane protein | radioactive isotope | atom 
15769 | proton pump | carrier protein | radioactive isotope | isotope 
15770 | sugar | carbohydrate | phospholipid bilayer | cellular structure 
15771 | nonpolar substance | hydrophobic substance | sodium chloride | salt 
15772 | adenylyl cyclase | protein enzyme | isoleucine | hydrophobic amino acid 
15772 | adenylyl cyclase | protein enzyme | isoleucine | amino acid 
15773 | adenylyl cyclase | protein | isoleucine | hydrophobic amino acid 
15773 | adenylyl cyclase | protein | isoleucine | amino acid 
15774 | adenylyl cyclase | lyase | isoleucine | hydrophobic amino acid 
15775 | tight junction | intercellular junction | ATP synthase | protein complex 
15776 | centrosome | microtubule organizing center | hypotonic solution | aqueous solution 
15777 | glycosidic linkage | polar covalent bond | multiprotein complex-III | protein complex 
15778 | chlorophyll B | chlorophyll | activation energy | energy 
15779 | chlorophyll B | accessory pigment | activation energy | energy 
15780 | Chemical equilibrium reaction | Chemical reaction | Glycolysis | Anaerobic metabolism 
15780 | Chemical equilibrium reaction | Chemical reaction | Glycolysis | Catabolic pathway 
15780 | Chemical equilibrium reaction | Chemical reaction | Glycolysis | Metabolism 
15780 | Chemical equilibrium reaction | Chemical reaction | Glycolysis | Exergonic reaction 
15780 | Chemical equilibrium reaction | Chemical reaction | Glycolysis | Metabolic pathway 
15781 | Chemical equilibrium reaction | Reversible reaction | Glycolysis | Anaerobic metabolism 
15781 | Chemical equilibrium reaction | Reversible reaction | Glycolysis | Catabolic pathway 
15782 | ester linkage | polar covalent bond | chemoautotroph | autotroph 
15783 | ester linkage | single bond | chemoautotroph | autotroph 
15784 | pentose | sugar | denatured protein | protein 
15784 | pentose | sugar | denatured protein | organic molecule 
15784 | pentose | sugar | denatured protein | polymer 
15785 | pentose | monosaccharide | denatured protein | protein 
15786 | ester linkage | polar covalent bond | nonpolar substance | hydrophobic substance 
15787 | ester linkage | single bond | nonpolar substance | hydrophobic substance 
15788 | methyl group | functional group | substrate | reactant 
15789 | cytoskeleton | cellular structure | Anaerobic respiration | Catabolism 
15790 | monosaccharide | carbohydrate | 3 phosphoglycerate | organic molecule 
15790 | monosaccharide | carbohydrate | 3 phosphoglycerate | molecule 
15791 | monosaccharide | sugar | 3 phosphoglycerate | organic molecule 
15792 | pentose | monosaccharide | cell wall | cellular structure 
15793 | enzyme inhibitor | inhibitor | glutamine | polar amino acid 
15794 | oxygen molecule | nonpolar molecule | first electron-shell | electron-shell 
15795 | microvillus | cellular structure | Cellular respiration | Aerobic metabolism 
15795 | microvillus | cellular structure | Cellular respiration | Catabolic pathway 
15796 | microfilament | polymer | symporter | transport membrane protein 
15796 | microfilament | polymer | symporter | transmembrane protein 
15796 | microfilament | polymer | symporter | integral protein 
15797 | microfilament | organic molecule | symporter | transport membrane protein 
15797 | microfilament | organic molecule | symporter | transmembrane protein 
15797 | microfilament | organic molecule | symporter | integral protein 
15798 | microfilament | protein | symporter | transport membrane protein 
15798 | microfilament | protein | symporter | transmembrane protein 
15799 | pyruvic acid | carboxylic acid | weak acid | acid 
15800 | kinetic energy | energy | archaea | prokaryote 
15801 | cellulose | polysaccharide | plastoquinone | organic molecule 
15801 | cellulose | polysaccharide | plastoquinone | molecule 
15802 | cellulose | hydrophilic compound | plastoquinone | organic molecule 
15802 | cellulose | hydrophilic compound | plastoquinone | molecule 
15803 | cellulose | molecule | plastoquinone | organic molecule 
15803 | cellulose | molecule | plastoquinone | molecule 
15804 | cellulose | structural polysaccharide | plastoquinone | organic molecule 
15805 | cellulose | polar molecule | plastoquinone | organic molecule 
15806 | glucose | carbohydrate | tubulin | globular protein 
15806 | glucose | carbohydrate | tubulin | water soluble protein 
15806 | glucose | carbohydrate | tubulin | protein 
15806 | glucose | carbohydrate | tubulin | organic molecule 
15806 | glucose | carbohydrate | tubulin | polymer 
15807 | glucose | sugar | tubulin | globular protein 
15807 | glucose | sugar | tubulin | water soluble protein 
15807 | glucose | sugar | tubulin | protein 
15808 | glucose | molecule | tubulin | globular protein 
15808 | glucose | molecule | tubulin | water soluble protein 
15808 | glucose | molecule | tubulin | protein 
15808 | glucose | molecule | tubulin | organic molecule 
15808 | glucose | molecule | tubulin | polymer 
15809 | glucose | organic molecule | tubulin | globular protein 
15809 | glucose | organic molecule | tubulin | water soluble protein 
15809 | glucose | organic molecule | tubulin | protein 
15810 | glucose | monosaccharide | tubulin | globular protein 
15810 | glucose | monosaccharide | tubulin | water soluble protein 
15811 | glucose | aldehyde | tubulin | globular protein 
15811 | glucose | aldehyde | tubulin | water soluble protein 
15812 | tubulin | protein | saturated fat | fat molecule 
15812 | tubulin | protein | saturated fat | triglyceride 
15812 | tubulin | protein | saturated fat | lipid 
15813 | tubulin | water soluble protein | saturated fat | fat molecule 
15813 | tubulin | water soluble protein | saturated fat | triglyceride 
15814 | tubulin | globular protein | saturated fat | fat molecule 
15815 | nonpolar substance | hydrophobic substance | law of thermodynamics | scientific law 
15816 | Synthesis of cAMP | Anabolic pathway | alcohol | organic molecule 
15816 | Synthesis of cAMP | Anabolic pathway | alcohol | molecule 
15817 | amylose | starch | cytosine | pyrimidine 
15818 | NAD plus | organic molecule | membrane protein | protein 
15818 | NAD plus | organic molecule | membrane protein | organic molecule 
15818 | NAD plus | organic molecule | membrane protein | polymer 
15819 | plastocyanin | protein | chlorophyll A | chlorophyll 
15820 | paracrine | molecule | glyoxysome | peroxisome 
15820 | paracrine | molecule | glyoxysome | organelle 
15820 | paracrine | molecule | glyoxysome | cellular structure 
15821 | paracrine | organic molecule | glyoxysome | peroxisome 
15821 | paracrine | organic molecule | glyoxysome | organelle 
15822 | muscle cell | eukaryotic cell | margarine | fat molecule 
15822 | muscle cell | eukaryotic cell | margarine | triglyceride 
15823 | muscle cell | animal cell | margarine | fat molecule 
15824 | Anaerobic metabolism | Metabolism | Signal transduction with phosphorylation cascade | Signal transduction 
15825 | P700 | chlorophyll A | Light reaction | Metabolic pathway 
15826 | phosphofructokinase | allosteric enzyme | Pinocytosis | Endocytosis 
15827 | Glycogen breakdown in vertebrates | Glycogen breakdown | alcohol | organic molecule 
15828 | peripheral protein | protein | fungus | eukaryote 
15828 | peripheral protein | protein | fungus | organism 
15829 | rubisco | protein enzyme | P680 | chlorophyll A 
15829 | rubisco | protein enzyme | P680 | chlorophyll 
15830 | rubisco | lyase | P680 | chlorophyll A 
15831 | integral protein | polymer | uniporter | transport membrane protein 
15831 | integral protein | polymer | uniporter | transmembrane protein 
15831 | integral protein | polymer | uniporter | integral protein 
15832 | integral protein | organic molecule | uniporter | transport membrane protein 
15832 | integral protein | organic molecule | uniporter | transmembrane protein 
15832 | integral protein | organic molecule | uniporter | integral protein 
15833 | integral protein | protein | uniporter | transport membrane protein 
15833 | integral protein | protein | uniporter | transmembrane protein 
15834 | integral protein | molecule | uniporter | transport membrane protein 
15834 | integral protein | molecule | uniporter | transmembrane protein 
15835 | integral protein | amphipathic molecule | uniporter | transport membrane protein 
15836 | channel protein | transport membrane protein | ubiquinone | lipid 
15837 | Cellular respiration | Catabolic pathway | Receptor mediated endocytosis | Endocytosis 
15838 | Cellular respiration | Aerobic metabolism | Receptor mediated endocytosis | Endocytosis 
15839 | carrier protein | amphipathic molecule | green light | light 
15839 | carrier protein | amphipathic molecule | green light | electromagnetic energy 
15839 | carrier protein | amphipathic molecule | green light | radiation 
15839 | carrier protein | amphipathic molecule | green light | energy 
15840 | carrier protein | integral protein | green light | light 
15840 | carrier protein | integral protein | green light | electromagnetic energy 
15840 | carrier protein | integral protein | green light | radiation 
15841 | carrier protein | transmembrane protein | green light | light 
15841 | carrier protein | transmembrane protein | green light | electromagnetic energy 
15842 | carrier protein | transport membrane protein | green light | light 
15843 | carbohydrate side chain | carbohydrate | denatured protein | protein 
15843 | carbohydrate side chain | carbohydrate | denatured protein | organic molecule 
15843 | carbohydrate side chain | carbohydrate | denatured protein | polymer 
15844 | carbohydrate side chain | oligosaccharide | denatured protein | protein 
15845 | Signal transduction with testosterone | Signal transduction | oil | fat molecule 
15846 | Active transport using ATP | Active transport | free-energy | energy 
15847 | polar molecule | compound | photosynthetic pigment | pigment 
15847 | polar molecule | compound | photosynthetic pigment | organic molecule 
15848 | polar molecule | hydrophilic compound | photosynthetic pigment | pigment 
15849 | polar molecule | molecule | photosynthetic pigment | pigment 
15850 | proton pump | transport membrane protein | Glycolysis | Anaerobic metabolism 
15850 | proton pump | transport membrane protein | Glycolysis | Catabolic pathway 
15850 | proton pump | transport membrane protein | Glycolysis | Metabolism 
15850 | proton pump | transport membrane protein | Glycolysis | Exergonic reaction 
15850 | proton pump | transport membrane protein | Glycolysis | Metabolic pathway 
15851 | proton pump | carrier protein | Glycolysis | Anaerobic metabolism 
15851 | proton pump | carrier protein | Glycolysis | Catabolic pathway 
15852 | C3 plant | plant | hydrophilic amino acid | amino acid 
15853 | substrate | reactant | third electron-shell | electron-shell 
15854 | polar side chain | R-group | plasmodesmata | intercellular junction 
15855 | Anabolism | Metabolism | second law of thermodynamics | law of thermodynamics 
15856 | Anabolism | Endergonic process | second law of thermodynamics | law of thermodynamics 
15857 | uncoupling protein | transport membrane protein | Transmission electron microscopy | Electron microscopy 
15857 | uncoupling protein | transport membrane protein | Transmission electron microscopy | Microscopy 
15858 | uncoupling protein | channel protein | Transmission electron microscopy | Electron microscopy 
15859 | antiporter | transport membrane protein | Communication through cell junction | Communication by direct contact 
15860 | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with Ca2 plus and IP3 | phospholipid bilayer | cellular structure 
15861 | sulfhydryl group | functional group | Photosynthesis | Anabolic pathway 
15862 | alpha glucose | molecule | methane | hydrocarbon molecule 
15862 | alpha glucose | molecule | methane | organic molecule 
15862 | alpha glucose | molecule | methane | molecule 
15863 | alpha glucose | monosaccharide | methane | hydrocarbon molecule 
15863 | alpha glucose | monosaccharide | methane | organic molecule 
15863 | alpha glucose | monosaccharide | methane | molecule 
15864 | alpha glucose | aldehyde | methane | hydrocarbon molecule 
15864 | alpha glucose | aldehyde | methane | organic molecule 
15864 | alpha glucose | aldehyde | methane | molecule 
15865 | alpha glucose | isomer | methane | hydrocarbon molecule 
15865 | alpha glucose | isomer | methane | organic molecule 
15866 | alpha glucose | hexose | methane | hydrocarbon molecule 
15866 | alpha glucose | hexose | methane | organic molecule 
15867 | structural polysaccharide | polymer | Fermentation | Anaerobic metabolism 
15867 | structural polysaccharide | polymer | Fermentation | Catabolic pathway 
15867 | structural polysaccharide | polymer | Fermentation | Metabolism 
15867 | structural polysaccharide | polymer | Fermentation | Exergonic reaction 
15867 | structural polysaccharide | polymer | Fermentation | Metabolic pathway 
15868 | structural polysaccharide | carbohydrate | Fermentation | Anaerobic metabolism 
15868 | structural polysaccharide | carbohydrate | Fermentation | Catabolic pathway 
15868 | structural polysaccharide | carbohydrate | Fermentation | Metabolism 
15868 | structural polysaccharide | carbohydrate | Fermentation | Exergonic reaction 
15868 | structural polysaccharide | carbohydrate | Fermentation | Metabolic pathway 
15869 | structural polysaccharide | polysaccharide | Fermentation | Anaerobic metabolism 
15869 | structural polysaccharide | polysaccharide | Fermentation | Catabolic pathway 
15870 | guanine | purine | ribosome | cellular structure 
15871 | strong acid | acid | triglyceride | lipid 
15872 | Lactic acid fermentation in muscle cell | Fermentation | beta tubulin | polypeptide 
15872 | Lactic acid fermentation in muscle cell | Fermentation | beta tubulin | organic molecule 
15872 | Lactic acid fermentation in muscle cell | Fermentation | beta tubulin | polymer 
15873 | Lactic acid fermentation in muscle cell | Lactic acid fermentation | beta tubulin | polypeptide 
15874 | chlorine atom | atom | coenzyme A | organic molecule 
15874 | chlorine atom | atom | coenzyme A | molecule 
15875 | polar molecule | compound | transport membrane protein | transmembrane protein 
15875 | polar molecule | compound | transport membrane protein | integral protein 
15876 | polar molecule | hydrophilic compound | transport membrane protein | transmembrane protein 
15877 | polar molecule | molecule | transport membrane protein | transmembrane protein 
15878 | ribulose bisphosphate | pentose | Active transport using ATP | Active transport 
15879 | Conversion of lactate to pyruvate by liver cell | Chemical reaction | fungus | eukaryote 
15879 | Conversion of lactate to pyruvate by liver cell | Chemical reaction | fungus | organism 
15880 | Conversion of lactate to pyruvate by liver cell | Redox reaction | fungus | eukaryote 
15881 | Crassulacean acid metabolism | Anabolic pathway | Anaerobic respiration | Catabolism 
15881 | Crassulacean acid metabolism | Anabolic pathway | Anaerobic respiration | Exergonic process 
15881 | Crassulacean acid metabolism | Anabolic pathway | Anaerobic respiration | Metabolism 
15882 | Crassulacean acid metabolism | Photosynthesis | Anaerobic respiration | Catabolism 
15883 | saturated fatty acid | compound | Lactic acid fermentation | Fermentation 
15883 | saturated fatty acid | compound | Lactic acid fermentation | Anaerobic metabolism 
15883 | saturated fatty acid | compound | Lactic acid fermentation | Catabolic pathway 
15883 | saturated fatty acid | compound | Lactic acid fermentation | Metabolism 
15883 | saturated fatty acid | compound | Lactic acid fermentation | Exergonic reaction 
15883 | saturated fatty acid | compound | Lactic acid fermentation | Metabolic pathway 
15884 | saturated fatty acid | carboxylic acid | Lactic acid fermentation | Fermentation 
15884 | saturated fatty acid | carboxylic acid | Lactic acid fermentation | Anaerobic metabolism 
15884 | saturated fatty acid | carboxylic acid | Lactic acid fermentation | Catabolic pathway 
15885 | saturated fatty acid | hydrophobic compound | Lactic acid fermentation | Fermentation 
15885 | saturated fatty acid | hydrophobic compound | Lactic acid fermentation | Anaerobic metabolism 
15885 | saturated fatty acid | hydrophobic compound | Lactic acid fermentation | Catabolic pathway 
15886 | saturated fatty acid | fatty acid | Lactic acid fermentation | Fermentation 
15887 | potassium | atom | glycine | hydrophobic amino acid 
15887 | potassium | atom | glycine | amino acid 
15888 | phosphate group | functional group | Signal transduction with Ca2 plus | Signal transduction with second messenger 
15889 | methionine | molecule | Lactic acid fermentation by bacteria | Lactic acid fermentation 
15889 | methionine | molecule | Lactic acid fermentation by bacteria | Fermentation 
15889 | methionine | molecule | Lactic acid fermentation by bacteria | Anaerobic metabolism 
15889 | methionine | molecule | Lactic acid fermentation by bacteria | Catabolic pathway 
15889 | methionine | molecule | Lactic acid fermentation by bacteria | Metabolism 
15889 | methionine | molecule | Lactic acid fermentation by bacteria | Exergonic reaction 
15889 | methionine | molecule | Lactic acid fermentation by bacteria | Metabolic pathway 
15890 | methionine | organic molecule | Lactic acid fermentation by bacteria | Lactic acid fermentation 
15890 | methionine | organic molecule | Lactic acid fermentation by bacteria | Fermentation 
15890 | methionine | organic molecule | Lactic acid fermentation by bacteria | Anaerobic metabolism 
15890 | methionine | organic molecule | Lactic acid fermentation by bacteria | Catabolic pathway 
15891 | methionine | amino acid | Lactic acid fermentation by bacteria | Lactic acid fermentation 
15891 | methionine | amino acid | Lactic acid fermentation by bacteria | Fermentation 
15892 | methionine | hydrophobic amino acid | Lactic acid fermentation by bacteria | Lactic acid fermentation 
15893 | valence electron | electron | transport membrane protein | transmembrane protein 
