0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4405 | tight junction | phospholipid bilayer | carrier protein | phospholipid bilayer 
4406 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
4407 | stroma | chloroplast | hydration shell | water 
4408 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4409 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4410 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
4411 | ATP synthase | phospholipid bilayer | microfibril | transport vesicle 
4412 | integral protein | phospholipid bilayer | stroma | chloroplast 
4413 | proton pump | phospholipid bilayer | hydration shell | water 
4414 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
4415 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4416 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
4417 | sodium-potassium pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4418 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
4419 | microfibril | transport vesicle | integrin | phospholipid bilayer 
4420 | stroma | chloroplast | carrier protein | phospholipid bilayer 
4421 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
4422 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4423 | stroma | chloroplast | stroma | chloroplast 
4424 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
4425 | carrier protein | phospholipid bilayer | hydration shell | water 
4426 | aquaporin | phospholipid bilayer | hydration shell | water 
4427 | carrier protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4428 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
4429 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
4430 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
4431 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
4432 | gated Channel | phospholipid bilayer | integral protein | phospholipid bilayer 
4433 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
4434 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4435 | desmosome | phospholipid bilayer | gated Channel | phospholipid bilayer 
4436 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
4437 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
4438 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
4439 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4440 | stroma | chloroplast | microfibril | transport vesicle 
4441 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
4442 | stroma | chloroplast | carrier protein | phospholipid bilayer 
4443 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4444 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
4445 | hydration shell | water | tight junction | phospholipid bilayer 
4446 | desmosome | phospholipid bilayer | proton pump | phospholipid bilayer 
4447 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
4448 | microfibril | transport vesicle | gated Channel | phospholipid bilayer 
4449 | hydration shell | water | ATP synthase | phospholipid bilayer 
4450 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
4451 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
4452 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
4453 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
4454 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4455 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
4456 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4457 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4458 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4459 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4460 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
4461 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
4462 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
4463 | hydration shell | water | transport membrane protein | phospholipid bilayer 
4464 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
4465 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
4466 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
4467 | hydration shell | water | proton pump | phospholipid bilayer 
4468 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
4469 | hydration shell | water | stroma | chloroplast 
4470 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4471 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
4472 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
4473 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
4474 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
4475 | stroma | chloroplast | integrin | phospholipid bilayer 
4476 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
4477 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
4478 | hydration shell | water | stroma | chloroplast 
4479 | integral protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4480 | desmosome | phospholipid bilayer | proton pump | phospholipid bilayer 
4481 | hydration shell | water | aquaporin | phospholipid bilayer 
4482 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
4483 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
4484 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
4485 | stroma | chloroplast | microfibril | transport vesicle 
4486 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
4487 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4488 | desmosome | phospholipid bilayer | hydration shell | water 
4489 | hydration shell | water | integrin | phospholipid bilayer 
4490 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4491 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4492 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4493 | integrin | phospholipid bilayer | microfibril | transport vesicle 
4494 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4495 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4496 | carrier protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4497 | hydration shell | water | integrin | phospholipid bilayer 
4498 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4499 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
4500 | ATP synthase | phospholipid bilayer | hydration shell | water 
4501 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
4502 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4503 | carrier protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4504 | stroma | chloroplast | tight junction | phospholipid bilayer 
4505 | stroma | chloroplast | desmosome | phospholipid bilayer 
4506 | carrier protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4507 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
4508 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
4509 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4510 | integral protein | phospholipid bilayer | integrin | phospholipid bilayer 
4511 | desmosome | phospholipid bilayer | hydration shell | water 
4512 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
4513 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4514 | cytoplasmic protein kinase | cytoplasm | ATP synthase | phospholipid bilayer 
4515 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4516 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
4517 | stroma | chloroplast | microfibril | transport vesicle 
4518 | stroma | chloroplast | integrin | phospholipid bilayer 
4519 | sodium-potassium pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4520 | ATP synthase | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4521 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
4522 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
4523 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
4524 | microfibril | transport vesicle | hydration shell | water 
4525 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
4526 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
4527 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
4528 | hydration shell | water | cytoplasmic protein kinase | cytoplasm 
4529 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
4530 | stroma | chloroplast | integrin | phospholipid bilayer 
4531 | carrier protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4532 | stroma | chloroplast | aquaporin | phospholipid bilayer 
4533 | hydration shell | water | integral protein | phospholipid bilayer 
4534 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
4535 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
4536 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4537 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
4538 | desmosome | phospholipid bilayer | hydration shell | water 
4539 | ATP synthase | phospholipid bilayer | carrier protein | phospholipid bilayer 
4540 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4541 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4542 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
4543 | hydration shell | water | proton pump | phospholipid bilayer 
4544 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
4545 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4546 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
4547 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
4548 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4549 | aquaporin | phospholipid bilayer | stroma | chloroplast 
4550 | proton pump | phospholipid bilayer | hydration shell | water 
4551 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
4552 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
4553 | hydration shell | water | stroma | chloroplast 
4554 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
4555 | tight junction | phospholipid bilayer | stroma | chloroplast 
4556 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4557 | stroma | chloroplast | gated Channel | phospholipid bilayer 
4558 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
4559 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
4560 | transport membrane protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4561 | integrin | phospholipid bilayer | hydration shell | water 
4562 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
4563 | aquaporin | phospholipid bilayer | hydration shell | water 
4564 | integrin | phospholipid bilayer | proton pump | phospholipid bilayer 
4565 | tight junction | phospholipid bilayer | hydration shell | water 
4566 | hydration shell | water | integrin | phospholipid bilayer 
4567 | hydration shell | water | hydration shell | water 
4568 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
4569 | transport membrane protein | phospholipid bilayer | tight junction | phospholipid bilayer 
4570 | sodium-potassium pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4571 | stroma | chloroplast | carrier protein | phospholipid bilayer 
4572 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
4573 | hydration shell | water | aquaporin | phospholipid bilayer 
4574 | integrin | phospholipid bilayer | gated Channel | phospholipid bilayer 
4575 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
4576 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4577 | microfibril | transport vesicle | integrin | phospholipid bilayer 
4578 | integrin | phospholipid bilayer | desmosome | phospholipid bilayer 
4579 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
4580 | desmosome | phospholipid bilayer | integral protein | phospholipid bilayer 
4581 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
4582 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
4583 | aquaporin | phospholipid bilayer | stroma | chloroplast 
4584 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4585 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
4586 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
4587 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4588 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
4589 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
4590 | hydration shell | water | cytoplasmic protein kinase | cytoplasm 
4591 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
4592 | stroma | chloroplast | microfibril | transport vesicle 
4593 | stroma | chloroplast | microfibril | transport vesicle 
4594 | hydration shell | water | transport membrane protein | phospholipid bilayer 
4595 | hydration shell | water | proton pump | phospholipid bilayer 
4596 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4597 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4598 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4599 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4600 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
4601 | microfibril | transport vesicle | integrin | phospholipid bilayer 
4602 | carrier protein | phospholipid bilayer | stroma | chloroplast 
4603 | carrier protein | phospholipid bilayer | microfibril | transport vesicle 
4604 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4605 | aquaporin | phospholipid bilayer | proton pump | phospholipid bilayer 
4606 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
4607 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
4608 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4609 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
4610 | aquaporin | phospholipid bilayer | proton pump | phospholipid bilayer 
4611 | stroma | chloroplast | aquaporin | phospholipid bilayer 
4612 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
4613 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4614 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
4615 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4616 | tight junction | phospholipid bilayer | carrier protein | phospholipid bilayer 
4617 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4618 | hydration shell | water | carrier protein | phospholipid bilayer 
4619 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4620 | aquaporin | phospholipid bilayer | gated Channel | phospholipid bilayer 
4621 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
4622 | hydration shell | water | desmosome | phospholipid bilayer 
4623 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
4624 | sodium-potassium pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4625 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
4626 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
4627 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4628 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4629 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
4630 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
4631 | integrin | phospholipid bilayer | stroma | chloroplast 
4632 | ATP synthase | phospholipid bilayer | stroma | chloroplast 
4633 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
4634 | proton pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
4635 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
4636 | aquaporin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4637 | gated Channel | phospholipid bilayer | stroma | chloroplast 
4638 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
4639 | tight junction | phospholipid bilayer | carrier protein | phospholipid bilayer 
4640 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4641 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
4642 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
4643 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4644 | hydration shell | water | cytoplasmic protein kinase | cytoplasm 
4645 | proton pump | phospholipid bilayer | hydration shell | water 
4646 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4647 | proton pump | phospholipid bilayer | desmosome | phospholipid bilayer 
4648 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
4649 | aquaporin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4650 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
4651 | aquaporin | phospholipid bilayer | hydration shell | water 
4652 | stroma | chloroplast | tight junction | phospholipid bilayer 
4653 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
4654 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
4655 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
4656 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4657 | transport membrane protein | phospholipid bilayer | stroma | chloroplast 
4658 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
4659 | microfibril | transport vesicle | microfibril | transport vesicle 
4660 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4661 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
4662 | ATP synthase | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4663 | tight junction | phospholipid bilayer | hydration shell | water 
4664 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
4665 | microfibril | transport vesicle | gated Channel | phospholipid bilayer 
4666 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
4667 | stroma | chloroplast | integral protein | phospholipid bilayer 
4668 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
4669 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
4670 | hydration shell | water | desmosome | phospholipid bilayer 
4671 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
4672 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4673 | carrier protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
4674 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
4675 | carrier protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4676 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
4677 | stroma | chloroplast | tight junction | phospholipid bilayer 
4678 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
4679 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
4680 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4681 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
4682 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4683 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
4684 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4685 | integral protein | phospholipid bilayer | hydration shell | water 
4686 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4687 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
4688 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
4689 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
4690 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4691 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
4692 | microfibril | transport vesicle | microfibril | transport vesicle 
4693 | ATP synthase | phospholipid bilayer | carrier protein | phospholipid bilayer 
4694 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4695 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4696 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
4697 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4698 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
4699 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
4700 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
4701 | hydration shell | water | stroma | chloroplast 
4702 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
4703 | carrier protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
4704 | hydration shell | water | gated Channel | phospholipid bilayer 
4705 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
4706 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
4707 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
4708 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
4709 | integrin | phospholipid bilayer | microfibril | transport vesicle 
4710 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4711 | integral protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4712 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
4713 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
4714 | stroma | chloroplast | integral protein | phospholipid bilayer 
4715 | gated Channel | phospholipid bilayer | hydration shell | water 
4716 | hydration shell | water | carrier protein | phospholipid bilayer 
4717 | proton pump | phospholipid bilayer | stroma | chloroplast 
4718 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
4719 | integral protein | phospholipid bilayer | stroma | chloroplast 
4720 | stroma | chloroplast | stroma | chloroplast 
4721 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
4722 | aquaporin | phospholipid bilayer | proton pump | phospholipid bilayer 
4723 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
4724 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
4725 | gated Channel | phospholipid bilayer | hydration shell | water 
4726 | stroma | chloroplast | hydration shell | water 
4727 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4728 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
4729 | hydration shell | water | tight junction | phospholipid bilayer 
4730 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
4731 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
4732 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
4733 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4734 | integrin | phospholipid bilayer | microfibril | transport vesicle 
4735 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
4736 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4737 | desmosome | phospholipid bilayer | stroma | chloroplast 
4738 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
4739 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
4740 | hydration shell | water | integral protein | phospholipid bilayer 
4741 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
4742 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4743 | ATP synthase | phospholipid bilayer | carrier protein | phospholipid bilayer 
4744 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
4745 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
4746 | hydration shell | water | transport membrane protein | phospholipid bilayer 
4747 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
4748 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
4749 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4750 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
4751 | microfibril | transport vesicle | stroma | chloroplast 
4752 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4753 | hydration shell | water | gated Channel | phospholipid bilayer 
4754 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
4755 | integrin | phospholipid bilayer | tight junction | phospholipid bilayer 
4756 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
4757 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
4758 | hydration shell | water | integral protein | phospholipid bilayer 
4759 | hydration shell | water | aquaporin | phospholipid bilayer 
4760 | hydration shell | water | tight junction | phospholipid bilayer 
4761 | stroma | chloroplast | integrin | phospholipid bilayer 
4762 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
4763 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
4764 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
4765 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4766 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4767 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
4768 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4769 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
4770 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4771 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4772 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
4773 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
4774 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
4775 | microfibril | transport vesicle | stroma | chloroplast 
4776 | stroma | chloroplast | integrin | phospholipid bilayer 
4777 | transport membrane protein | phospholipid bilayer | hydration shell | water 
4778 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
4779 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
4780 | aquaporin | phospholipid bilayer | hydration shell | water 
4781 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
4782 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4783 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4784 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
4785 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4786 | carrier protein | phospholipid bilayer | stroma | chloroplast 
4787 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
4788 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
4789 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
4790 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
4791 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
4792 | ATP synthase | phospholipid bilayer | hydration shell | water 
4793 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
4794 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
4795 | integral protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
4796 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
4797 | tight junction | phospholipid bilayer | hydration shell | water 
4798 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
4799 | stroma | chloroplast | stroma | chloroplast 
4800 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
4801 | transport membrane protein | phospholipid bilayer | stroma | chloroplast 
4802 | microfibril | transport vesicle | gated Channel | phospholipid bilayer 
4803 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
