0 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
7763 | lysosome | Autophagy | C4 plant | C4-photosynthesis 
7763 | lysosome | Autophagy | C4 plant | Starch storage by plant 
7764 | rough endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
7767 | carbon 14 atom | Radioactivity | thylakoid | Light reaction 
7771 | phosphofructokinase | Phosphorylation | lysosome | Intracellular digestion 
7771 | phosphofructokinase | Phosphorylation | lysosome | Autophagy 
7775 | ATP synthase | Facilitated diffusion | plant | Starch storage by plant 
7775 | ATP synthase | Facilitated diffusion | plant | Photosynthesis 
7776 | ATP synthase | Synthesis of ATP | plant | Starch storage by plant 
7776 | ATP synthase | Synthesis of ATP | plant | Photosynthesis 
7781 | PEP carboxylase | Carbon fixation | plant | Starch storage by plant 
7781 | PEP carboxylase | Carbon fixation | plant | Photosynthesis 
7783 | carbon 14 atom | Radioactivity | lysosome | Intracellular digestion 
7783 | carbon 14 atom | Radioactivity | lysosome | Autophagy 
7785 | dynein | Dynein walking | lysosome | Intracellular digestion 
7785 | dynein | Dynein walking | lysosome | Autophagy 
7791 | cellulose | Adhesion | radioactive isotope | Radioactivity 
7794 | smooth endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
7797 | PEP carboxylase | Carbon fixation | C4 plant | C4-photosynthesis 
7797 | PEP carboxylase | Carbon fixation | C4 plant | Starch storage by plant 
7801 | ATP synthase | Facilitated diffusion | carbon 14 atom | Radioactivity 
7802 | ATP synthase | Synthesis of ATP | carbon 14 atom | Radioactivity 
7803 | radioactive isotope | Radioactivity | lysosome | Intracellular digestion 
7803 | radioactive isotope | Radioactivity | lysosome | Autophagy 
7805 | macrophage | Phagocytosis | radioactive isotope | Radioactivity 
7812 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
7814 | mitochondrion | Eukaryotic oxidative phosphorylation | lysosome | Intracellular digestion 
7814 | mitochondrion | Eukaryotic oxidative phosphorylation | lysosome | Autophagy 
7815 | mitochondrion | Eukaryotic pyruvate oxidation | lysosome | Intracellular digestion 
7815 | mitochondrion | Eukaryotic pyruvate oxidation | lysosome | Autophagy 
7818 | ATP synthase | Facilitated diffusion | C4 plant | C4-photosynthesis 
7818 | ATP synthase | Facilitated diffusion | C4 plant | Starch storage by plant 
7819 | ATP synthase | Synthesis of ATP | C4 plant | C4-photosynthesis 
7819 | ATP synthase | Synthesis of ATP | C4 plant | Starch storage by plant 
7820 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
7820 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
7823 | lysosome | Intracellular digestion | lysosome | Intracellular digestion 
7823 | lysosome | Intracellular digestion | lysosome | Autophagy 
7824 | lysosome | Autophagy | lysosome | Intracellular digestion 
7824 | lysosome | Autophagy | lysosome | Autophagy 
7836 | macrophage | Phagocytosis | thylakoid | Light reaction 
7842 | cotransporter | Cotransport | carbon 14 atom | Radioactivity 
7843 | cotransporter | Exergonic process | carbon 14 atom | Radioactivity 
7845 | cotransporter | Cotransport | plant | Starch storage by plant 
7845 | cotransporter | Cotransport | plant | Photosynthesis 
7846 | cotransporter | Exergonic process | plant | Starch storage by plant 
7846 | cotransporter | Exergonic process | plant | Photosynthesis 
7855 | pepsin | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
7863 | cytoplasmic protein kinase | Phosphorylation | CAM plant | Starch storage by plant 
7863 | cytoplasmic protein kinase | Phosphorylation | CAM plant | Crassulacean acid metabolism 
7873 | carbon 14 atom | Radioactivity | carbon 14 atom | Radioactivity 
7878 | rough endoplasmic reticulum | Metabolism | plant | Starch storage by plant 
7878 | rough endoplasmic reticulum | Metabolism | plant | Photosynthesis 
7880 | lysosomal enzyme | Hydrolysis | ribonuclease | Hydrolysis 
7882 | C3 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
7882 | C3 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
7883 | dynein | Dynein walking | C4 plant | C4-photosynthesis 
7883 | dynein | Dynein walking | C4 plant | Starch storage by plant 
7885 | dynein | Dynein walking | cytoplasmic protein kinase | Phosphorylation 
7887 | rough endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
7891 | C3 plant | Starch storage by plant | pepsin | Hydrolysis 
7895 | cellulose | Adhesion | C4 plant | C4-photosynthesis 
7895 | cellulose | Adhesion | C4 plant | Starch storage by plant 
7905 | macrophage | Phagocytosis | ATP synthase | Facilitated diffusion 
7905 | macrophage | Phagocytosis | ATP synthase | Synthesis of ATP 
7916 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
7919 | CAM plant | Starch storage by plant | radioactive isotope | Radioactivity 
7920 | CAM plant | Crassulacean acid metabolism | radioactive isotope | Radioactivity 
7921 | macrophage | Phagocytosis | thylakoid | Light reaction 
7922 | thylakoid | Light reaction | thylakoid | Light reaction 
7923 | lysosome | Intracellular digestion | C4 plant | C4-photosynthesis 
7923 | lysosome | Intracellular digestion | C4 plant | Starch storage by plant 
7924 | lysosome | Autophagy | C4 plant | C4-photosynthesis 
7924 | lysosome | Autophagy | C4 plant | Starch storage by plant 
7933 | rough endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
7933 | rough endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
7938 | cytoplasmic protein kinase | Phosphorylation | C4 plant | C4-photosynthesis 
7938 | cytoplasmic protein kinase | Phosphorylation | C4 plant | Starch storage by plant 
7941 | lysosomal enzyme | Hydrolysis | radioactive isotope | Radioactivity 
7946 | cellulose | Adhesion | C4 plant | C4-photosynthesis 
7946 | cellulose | Adhesion | C4 plant | Starch storage by plant 
7947 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
7947 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
7954 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
7955 | radioactive isotope | Radioactivity | ATP synthase | Facilitated diffusion 
7955 | radioactive isotope | Radioactivity | ATP synthase | Synthesis of ATP 
7958 | C3 plant | Starch storage by plant | CAM plant | Starch storage by plant 
7958 | C3 plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
7973 | radioactive isotope | Radioactivity | C4 plant | C4-photosynthesis 
7973 | radioactive isotope | Radioactivity | C4 plant | Starch storage by plant 
7974 | dynein | Dynein walking | pepsin | Hydrolysis 
7978 | transport membrane protein | Facilitated diffusion | ribonuclease | Hydrolysis 
7979 | carbon 14 atom | Radioactivity | thylakoid | Light reaction 
7980 | lysosomal enzyme | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
7989 | phosphofructokinase | Phosphorylation | thylakoid | Light reaction 
7992 | ATP synthase | Facilitated diffusion | cytoplasmic protein kinase | Phosphorylation 
7993 | ATP synthase | Synthesis of ATP | cytoplasmic protein kinase | Phosphorylation 
7999 | carbon 14 atom | Radioactivity | radioactive isotope | Radioactivity 
8000 | radioactive isotope | Radioactivity | ribonuclease | Hydrolysis 
8005 | radioactive isotope | Radioactivity | ribonuclease | Hydrolysis 
8006 | cellulose | Adhesion | lysosome | Intracellular digestion 
8006 | cellulose | Adhesion | lysosome | Autophagy 
8020 | macrophage | Phagocytosis | thylakoid | Light reaction 
8027 | plant | Starch storage by plant | radioactive isotope | Radioactivity 
8028 | plant | Photosynthesis | radioactive isotope | Radioactivity 
8029 | ATP synthase | Facilitated diffusion | pepsin | Hydrolysis 
8030 | ATP synthase | Synthesis of ATP | pepsin | Hydrolysis 
8036 | lysosomal enzyme | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
8037 | chloroplast | Photosynthesis | ribonuclease | Hydrolysis 
8038 | plant | Starch storage by plant | radioactive isotope | Radioactivity 
8039 | plant | Photosynthesis | radioactive isotope | Radioactivity 
8040 | thylakoid | Light reaction | carbon 14 atom | Radioactivity 
8043 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
8043 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
8048 | chloroplast | Photosynthesis | plant | Starch storage by plant 
8048 | chloroplast | Photosynthesis | plant | Photosynthesis 
8050 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Starch storage by plant 
8050 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Crassulacean acid metabolism 
8051 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Starch storage by plant 
8051 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Crassulacean acid metabolism 
8057 | PEP carboxylase | Carbon fixation | ATP synthase | Facilitated diffusion 
8057 | PEP carboxylase | Carbon fixation | ATP synthase | Synthesis of ATP 
8058 | lysosome | Intracellular digestion | pepsin | Hydrolysis 
8059 | lysosome | Autophagy | pepsin | Hydrolysis 
8060 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
8060 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
8067 | transport membrane protein | Facilitated diffusion | radioactive isotope | Radioactivity 
8068 | C3 plant | Starch storage by plant | pepsin | Hydrolysis 
8072 | CAM plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
8072 | CAM plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
8073 | CAM plant | Crassulacean acid metabolism | ATP synthase | Facilitated diffusion 
8073 | CAM plant | Crassulacean acid metabolism | ATP synthase | Synthesis of ATP 
8082 | cellulose | Adhesion | CAM plant | Starch storage by plant 
8082 | cellulose | Adhesion | CAM plant | Crassulacean acid metabolism 
8083 | C3 plant | Starch storage by plant | plant | Starch storage by plant 
8083 | C3 plant | Starch storage by plant | plant | Photosynthesis 
8088 | smooth endoplasmic reticulum | Metabolism | carbon 14 atom | Radioactivity 
8100 | pepsin | Hydrolysis | plant | Starch storage by plant 
8100 | pepsin | Hydrolysis | plant | Photosynthesis 
8105 | PEP carboxylase | Carbon fixation | carbon 14 atom | Radioactivity 
8106 | mitochondrion | Eukaryotic oxidative phosphorylation | carbon 14 atom | Radioactivity 
8107 | mitochondrion | Eukaryotic pyruvate oxidation | carbon 14 atom | Radioactivity 
8112 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
8112 | smooth endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
8120 | transport membrane protein | Facilitated diffusion | thylakoid | Light reaction 
8121 | dynein | Dynein walking | C4 plant | C4-photosynthesis 
8121 | dynein | Dynein walking | C4 plant | Starch storage by plant 
8132 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
8133 | PEP carboxylase | Carbon fixation | C4 plant | C4-photosynthesis 
8133 | PEP carboxylase | Carbon fixation | C4 plant | Starch storage by plant 
8136 | PEP carboxylase | Carbon fixation | radioactive isotope | Radioactivity 
8140 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
8140 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
8149 | cytoplasmic protein kinase | Phosphorylation | ribonuclease | Hydrolysis 
8153 | thylakoid | Light reaction | ATP synthase | Facilitated diffusion 
8153 | thylakoid | Light reaction | ATP synthase | Synthesis of ATP 
8161 | CAM plant | Starch storage by plant | pepsin | Hydrolysis 
8162 | CAM plant | Crassulacean acid metabolism | pepsin | Hydrolysis 
8163 | macrophage | Phagocytosis | plant | Starch storage by plant 
8163 | macrophage | Phagocytosis | plant | Photosynthesis 
8167 | ribonuclease | Hydrolysis | plant | Starch storage by plant 
8167 | ribonuclease | Hydrolysis | plant | Photosynthesis 
8173 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
8173 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
8174 | C4 plant | C4-photosynthesis | plant | Starch storage by plant 
8174 | C4 plant | C4-photosynthesis | plant | Photosynthesis 
8175 | C4 plant | Starch storage by plant | plant | Starch storage by plant 
8175 | C4 plant | Starch storage by plant | plant | Photosynthesis 
8177 | plant | Starch storage by plant | pepsin | Hydrolysis 
8178 | plant | Photosynthesis | pepsin | Hydrolysis 
8181 | cellulose | Adhesion | CAM plant | Starch storage by plant 
8181 | cellulose | Adhesion | CAM plant | Crassulacean acid metabolism 
8182 | CAM plant | Starch storage by plant | lysosome | Intracellular digestion 
8182 | CAM plant | Starch storage by plant | lysosome | Autophagy 
8183 | CAM plant | Crassulacean acid metabolism | lysosome | Intracellular digestion 
8183 | CAM plant | Crassulacean acid metabolism | lysosome | Autophagy 
8185 | cytoplasmic protein kinase | Phosphorylation | plant | Starch storage by plant 
8185 | cytoplasmic protein kinase | Phosphorylation | plant | Photosynthesis 
8186 | thylakoid | Light reaction | thylakoid | Light reaction 
8189 | cotransporter | Cotransport | C4 plant | C4-photosynthesis 
8189 | cotransporter | Cotransport | C4 plant | Starch storage by plant 
8190 | cotransporter | Exergonic process | C4 plant | C4-photosynthesis 
8190 | cotransporter | Exergonic process | C4 plant | Starch storage by plant 
8192 | thylakoid | Light reaction | pepsin | Hydrolysis 
8193 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
8193 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
8200 | cellulose | Adhesion | CAM plant | Starch storage by plant 
8200 | cellulose | Adhesion | CAM plant | Crassulacean acid metabolism 
8201 | lysosomal enzyme | Hydrolysis | pepsin | Hydrolysis 
8202 | macrophage | Phagocytosis | lysosome | Intracellular digestion 
8202 | macrophage | Phagocytosis | lysosome | Autophagy 
8203 | cotransporter | Cotransport | CAM plant | Starch storage by plant 
8203 | cotransporter | Cotransport | CAM plant | Crassulacean acid metabolism 
8204 | cotransporter | Exergonic process | CAM plant | Starch storage by plant 
8204 | cotransporter | Exergonic process | CAM plant | Crassulacean acid metabolism 
8206 | smooth endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
8209 | PEP carboxylase | Carbon fixation | cytoplasmic protein kinase | Phosphorylation 
8212 | plant | Starch storage by plant | carbon 14 atom | Radioactivity 
8213 | plant | Photosynthesis | carbon 14 atom | Radioactivity 
8214 | CAM plant | Starch storage by plant | CAM plant | Starch storage by plant 
8214 | CAM plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
8215 | CAM plant | Crassulacean acid metabolism | CAM plant | Starch storage by plant 
8215 | CAM plant | Crassulacean acid metabolism | CAM plant | Crassulacean acid metabolism 
8217 | transport membrane protein | Facilitated diffusion | CAM plant | Starch storage by plant 
8217 | transport membrane protein | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
8233 | smooth endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
8254 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
8254 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
8255 | ATP synthase | Facilitated diffusion | CAM plant | Starch storage by plant 
8255 | ATP synthase | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
8256 | ATP synthase | Synthesis of ATP | CAM plant | Starch storage by plant 
8256 | ATP synthase | Synthesis of ATP | CAM plant | Crassulacean acid metabolism 
8258 | lysosomal enzyme | Hydrolysis | lysosome | Intracellular digestion 
8258 | lysosomal enzyme | Hydrolysis | lysosome | Autophagy 
8277 | carbon 14 atom | Radioactivity | ATP synthase | Facilitated diffusion 
8277 | carbon 14 atom | Radioactivity | ATP synthase | Synthesis of ATP 
8280 | pepsin | Hydrolysis | thylakoid | Light reaction 
8298 | cytoplasmic protein kinase | Phosphorylation | C4 plant | C4-photosynthesis 
8298 | cytoplasmic protein kinase | Phosphorylation | C4 plant | Starch storage by plant 
8299 | chloroplast | Photosynthesis | plant | Starch storage by plant 
8299 | chloroplast | Photosynthesis | plant | Photosynthesis 
8300 | CAM plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
8301 | CAM plant | Crassulacean acid metabolism | cytoplasmic protein kinase | Phosphorylation 
8310 | ribonuclease | Hydrolysis | lysosome | Intracellular digestion 
8310 | ribonuclease | Hydrolysis | lysosome | Autophagy 
8331 | ribonuclease | Hydrolysis | carbon 14 atom | Radioactivity 
8337 | chloroplast | Photosynthesis | ATP synthase | Facilitated diffusion 
8337 | chloroplast | Photosynthesis | ATP synthase | Synthesis of ATP 
8338 | rough endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
8340 | radioactive isotope | Radioactivity | ribonuclease | Hydrolysis 
8353 | pepsin | Hydrolysis | pepsin | Hydrolysis 
8357 | lysosome | Intracellular digestion | pepsin | Hydrolysis 
8358 | lysosome | Autophagy | pepsin | Hydrolysis 
8384 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Facilitated diffusion 
8384 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Synthesis of ATP 
8385 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Facilitated diffusion 
8385 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Synthesis of ATP 
8386 | macrophage | Phagocytosis | ribonuclease | Hydrolysis 
8389 | radioactive isotope | Radioactivity | C4 plant | C4-photosynthesis 
8389 | radioactive isotope | Radioactivity | C4 plant | Starch storage by plant 
8398 | C3 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
8398 | C3 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
8399 | chloroplast | Photosynthesis | ATP synthase | Facilitated diffusion 
8399 | chloroplast | Photosynthesis | ATP synthase | Synthesis of ATP 
8400 | dynein | Dynein walking | ribonuclease | Hydrolysis 
8404 | macrophage | Phagocytosis | thylakoid | Light reaction 
8409 | radioactive isotope | Radioactivity | ribonuclease | Hydrolysis 
8423 | cytoplasmic protein kinase | Phosphorylation | plant | Starch storage by plant 
8423 | cytoplasmic protein kinase | Phosphorylation | plant | Photosynthesis 
8425 | CAM plant | Starch storage by plant | pepsin | Hydrolysis 
8426 | CAM plant | Crassulacean acid metabolism | pepsin | Hydrolysis 
8436 | plant | Starch storage by plant | thylakoid | Light reaction 
8437 | plant | Photosynthesis | thylakoid | Light reaction 
8438 | lysosome | Intracellular digestion | thylakoid | Light reaction 
8439 | lysosome | Autophagy | thylakoid | Light reaction 
8442 | cotransporter | Cotransport | pepsin | Hydrolysis 
8443 | cotransporter | Exergonic process | pepsin | Hydrolysis 
8447 | thylakoid | Light reaction | carbon 14 atom | Radioactivity 
8459 | carbon 14 atom | Radioactivity | pepsin | Hydrolysis 
8461 | cellulose | Adhesion | plant | Starch storage by plant 
8461 | cellulose | Adhesion | plant | Photosynthesis 
8465 | dynein | Dynein walking | plant | Starch storage by plant 
8465 | dynein | Dynein walking | plant | Photosynthesis 
8472 | C3 plant | Starch storage by plant | plant | Starch storage by plant 
8472 | C3 plant | Starch storage by plant | plant | Photosynthesis 
8473 | cytoplasmic protein kinase | Phosphorylation | C4 plant | C4-photosynthesis 
8473 | cytoplasmic protein kinase | Phosphorylation | C4 plant | Starch storage by plant 
8474 | smooth endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
8480 | macrophage | Phagocytosis | ATP synthase | Facilitated diffusion 
8480 | macrophage | Phagocytosis | ATP synthase | Synthesis of ATP 
8485 | CAM plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
8486 | CAM plant | Crassulacean acid metabolism | cytoplasmic protein kinase | Phosphorylation 
8489 | cellulose | Adhesion | CAM plant | Starch storage by plant 
8489 | cellulose | Adhesion | CAM plant | Crassulacean acid metabolism 
8490 | rough endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
8490 | rough endoplasmic reticulum | Metabolism | lysosome | Autophagy 
8491 | chloroplast | Photosynthesis | ribonuclease | Hydrolysis 
8492 | PEP carboxylase | Carbon fixation | carbon 14 atom | Radioactivity 
8495 | transport membrane protein | Facilitated diffusion | plant | Starch storage by plant 
8495 | transport membrane protein | Facilitated diffusion | plant | Photosynthesis 
8496 | carbon 14 atom | Radioactivity | C4 plant | C4-photosynthesis 
8496 | carbon 14 atom | Radioactivity | C4 plant | Starch storage by plant 
8502 | lysosome | Intracellular digestion | ribonuclease | Hydrolysis 
8503 | lysosome | Autophagy | ribonuclease | Hydrolysis 
8504 | cellulose | Adhesion | plant | Starch storage by plant 
8504 | cellulose | Adhesion | plant | Photosynthesis 
8514 | dynein | Dynein walking | thylakoid | Light reaction 
8515 | pepsin | Hydrolysis | thylakoid | Light reaction 
8517 | smooth endoplasmic reticulum | Metabolism | carbon 14 atom | Radioactivity 
8518 | smooth endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
8519 | chloroplast | Photosynthesis | ribonuclease | Hydrolysis 
8521 | plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
8521 | plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
8522 | plant | Photosynthesis | ATP synthase | Facilitated diffusion 
8522 | plant | Photosynthesis | ATP synthase | Synthesis of ATP 
8530 | C3 plant | Starch storage by plant | pepsin | Hydrolysis 
8532 | ribonuclease | Hydrolysis | ribonuclease | Hydrolysis 
8536 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
8536 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
8546 | cytoplasmic protein kinase | Phosphorylation | C4 plant | C4-photosynthesis 
8546 | cytoplasmic protein kinase | Phosphorylation | C4 plant | Starch storage by plant 
8547 | smooth endoplasmic reticulum | Metabolism | CAM plant | Starch storage by plant 
8547 | smooth endoplasmic reticulum | Metabolism | CAM plant | Crassulacean acid metabolism 
8551 | radioactive isotope | Radioactivity | pepsin | Hydrolysis 
8554 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
8554 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
8569 | plant | Starch storage by plant | plant | Starch storage by plant 
8569 | plant | Starch storage by plant | plant | Photosynthesis 
8570 | plant | Photosynthesis | plant | Starch storage by plant 
8570 | plant | Photosynthesis | plant | Photosynthesis 
8571 | carbon 14 atom | Radioactivity | lysosome | Intracellular digestion 
8571 | carbon 14 atom | Radioactivity | lysosome | Autophagy 
8572 | thylakoid | Light reaction | cytoplasmic protein kinase | Phosphorylation 
8578 | cellulose | Adhesion | ribonuclease | Hydrolysis 
8581 | C3 plant | Starch storage by plant | C4 plant | C4-photosynthesis 
8581 | C3 plant | Starch storage by plant | C4 plant | Starch storage by plant 
8590 | rough endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
8598 | phosphofructokinase | Phosphorylation | C4 plant | C4-photosynthesis 
8598 | phosphofructokinase | Phosphorylation | C4 plant | Starch storage by plant 
8600 | cotransporter | Cotransport | C4 plant | C4-photosynthesis 
8600 | cotransporter | Cotransport | C4 plant | Starch storage by plant 
8601 | cotransporter | Exergonic process | C4 plant | C4-photosynthesis 
8601 | cotransporter | Exergonic process | C4 plant | Starch storage by plant 
8604 | CAM plant | Starch storage by plant | pepsin | Hydrolysis 
8605 | CAM plant | Crassulacean acid metabolism | pepsin | Hydrolysis 
8613 | radioactive isotope | Radioactivity | carbon 14 atom | Radioactivity 
8614 | thylakoid | Light reaction | ribonuclease | Hydrolysis 
8623 | transport membrane protein | Facilitated diffusion | cytoplasmic protein kinase | Phosphorylation 
8625 | lysosome | Intracellular digestion | plant | Starch storage by plant 
8625 | lysosome | Intracellular digestion | plant | Photosynthesis 
8626 | lysosome | Autophagy | plant | Starch storage by plant 
8626 | lysosome | Autophagy | plant | Photosynthesis 
8631 | pepsin | Hydrolysis | carbon 14 atom | Radioactivity 
8634 | macrophage | Phagocytosis | plant | Starch storage by plant 
8634 | macrophage | Phagocytosis | plant | Photosynthesis 
8637 | PEP carboxylase | Carbon fixation | C4 plant | C4-photosynthesis 
8637 | PEP carboxylase | Carbon fixation | C4 plant | Starch storage by plant 
8647 | ribonuclease | Hydrolysis | plant | Starch storage by plant 
8647 | ribonuclease | Hydrolysis | plant | Photosynthesis 
8648 | thylakoid | Light reaction | ribonuclease | Hydrolysis 
8649 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
8649 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
8653 | phosphofructokinase | Phosphorylation | CAM plant | Starch storage by plant 
8653 | phosphofructokinase | Phosphorylation | CAM plant | Crassulacean acid metabolism 
8654 | pepsin | Hydrolysis | ribonuclease | Hydrolysis 
8657 | ribonuclease | Hydrolysis | CAM plant | Starch storage by plant 
8657 | ribonuclease | Hydrolysis | CAM plant | Crassulacean acid metabolism 
8663 | macrophage | Phagocytosis | carbon 14 atom | Radioactivity 
8664 | mitochondrion | Eukaryotic oxidative phosphorylation | thylakoid | Light reaction 
8665 | mitochondrion | Eukaryotic pyruvate oxidation | thylakoid | Light reaction 
8672 | C3 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
8672 | C3 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
8674 | pepsin | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
8685 | phosphofructokinase | Phosphorylation | ribonuclease | Hydrolysis 
8689 | ribonuclease | Hydrolysis | thylakoid | Light reaction 
8690 | smooth endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
8693 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
8698 | ribonuclease | Hydrolysis | lysosome | Intracellular digestion 
8698 | ribonuclease | Hydrolysis | lysosome | Autophagy 
8702 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
8704 | plant | Starch storage by plant | plant | Starch storage by plant 
8704 | plant | Starch storage by plant | plant | Photosynthesis 
8705 | plant | Photosynthesis | plant | Starch storage by plant 
8705 | plant | Photosynthesis | plant | Photosynthesis 
8706 | cytoplasmic protein kinase | Phosphorylation | thylakoid | Light reaction 
8707 | CAM plant | Starch storage by plant | C4 plant | C4-photosynthesis 
8707 | CAM plant | Starch storage by plant | C4 plant | Starch storage by plant 
8708 | CAM plant | Crassulacean acid metabolism | C4 plant | C4-photosynthesis 
8708 | CAM plant | Crassulacean acid metabolism | C4 plant | Starch storage by plant 
8715 | lysosomal enzyme | Hydrolysis | carbon 14 atom | Radioactivity 
8717 | cotransporter | Cotransport | lysosome | Intracellular digestion 
8717 | cotransporter | Cotransport | lysosome | Autophagy 
8718 | cotransporter | Exergonic process | lysosome | Intracellular digestion 
8718 | cotransporter | Exergonic process | lysosome | Autophagy 
8733 | cellulose | Adhesion | CAM plant | Starch storage by plant 
8733 | cellulose | Adhesion | CAM plant | Crassulacean acid metabolism 
8734 | smooth endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
8738 | thylakoid | Light reaction | radioactive isotope | Radioactivity 
8740 | ATP synthase | Facilitated diffusion | C4 plant | C4-photosynthesis 
8740 | ATP synthase | Facilitated diffusion | C4 plant | Starch storage by plant 
8741 | ATP synthase | Synthesis of ATP | C4 plant | C4-photosynthesis 
8741 | ATP synthase | Synthesis of ATP | C4 plant | Starch storage by plant 
8746 | C3 plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
8747 | phosphofructokinase | Phosphorylation | radioactive isotope | Radioactivity 
8768 | dynein | Dynein walking | CAM plant | Starch storage by plant 
8768 | dynein | Dynein walking | CAM plant | Crassulacean acid metabolism 
8774 | cotransporter | Cotransport | C4 plant | C4-photosynthesis 
8774 | cotransporter | Cotransport | C4 plant | Starch storage by plant 
8775 | cotransporter | Exergonic process | C4 plant | C4-photosynthesis 
8775 | cotransporter | Exergonic process | C4 plant | Starch storage by plant 
8784 | transport membrane protein | Facilitated diffusion | radioactive isotope | Radioactivity 
8793 | cellulose | Adhesion | lysosome | Intracellular digestion 
8793 | cellulose | Adhesion | lysosome | Autophagy 
8802 | dynein | Dynein walking | lysosome | Intracellular digestion 
8802 | dynein | Dynein walking | lysosome | Autophagy 
8804 | cellulose | Adhesion | plant | Starch storage by plant 
8804 | cellulose | Adhesion | plant | Photosynthesis 
8810 | mitochondrion | Eukaryotic oxidative phosphorylation | ribonuclease | Hydrolysis 
